No,Name,Level,Form,Effect,Image,Book,,,,,,,,,,,,,,,,,,,
271,Machine control implant,1d6+2,"Internal: Pill
Wearable: Disk that adheres to forehead, temporary tattoo
Usable: Injector","When activated, the cypher splits into two pieces. One is affixed to a numenera device and the other to a character. The character can then use their mind to control the device at long range, bidding it to do anything it could do normally. Thus, a device could be activated or deactivated, and a vehicle could be piloted. The control lasts for ten minutes per cypher level, and once the device is chosen, it cannot be changed.",no,DISC,,,,,,,,,,,,,,,,,,,
272,Magnetic attack drill,1d6+2,Usable: Small sphere with a thick screw protrusion,"The user throws this cypher at a target within short range, and it drills into the target for one round, inflicting damage equal to the cypher level. If the target is made of metal or wearing metal (such as armor), the attack is eased.",no,DISC,,,,,,,,,,,,,,,,,,,
273,Magnetic boots,1d6,Wearable: Magnets fit onto boots,"These extraordinarily powerful electromagnets affix to the soles of standard leather boots. With subtle toe movements, the wearer can activate or deactivate the magnets (no action required), allowing him to climb up a metal wall or remain, unmoved, while standing on a metal surface. The magnets’ power lasts for one hour.",no,SATC,,,,,,,,,,,,,,,,,,,
274,Magnetic ink,1d6,Usable: Small container of ink,"When used to tattoo flesh, this ink embeds powerful magnets in the subject’s skin. The magnets are powerful enough to hold up to 5 pounds (2 kg) of metal. The ink can be applied only once, and there’s only enough to make a tattoo about 3 inches (8 cm) across, but once applied, it is permanent.",no,SATC,,,,,,,,,,,,,,,,,,,
275,Magnetic master,1d6+2,"Wearable: Gloves with metal plates
Usable: Small pyramid-shaped metallic device","Establishes a connection with one metal object within short range that a human could hold in one hand. After this connection is established, the user can move or manipulate the object anywhere within short range (each movement or manipulation is an action). For example, the user could wield a weapon or drag a helm affixed to a foe’s head to and fro. The connection lasts for ten rounds per cypher level.",no,DISC,,,,,,,,,,,,,,,,,,,
276,Magnetic shield,1d6+2,"Wearable: Gloves with metal plates
Usable: Small pyramid-shaped metallic device","For ten minutes per cypher level, metal objects cannot come within immediate range of the activated device. Metal items already in the area when the device is activated are slowly pushed out.",no,DISC,,,,,,,,,,,,,,,,,,,
277,Magnetic winch,1d6+3,Usable: Small metal box,"When activated, this metal box breaks into two halves joined by a very strong and thin metal cable, which can be extended up to 120 feet (37 m). When a second switch is pressed, the boxes each become very strong magnets. When a third switch is pressed, the cable is retracted by a motor that is powerful enough to pull 5,000 pounds (2,268 kg) of dead weight until the two boxes are joined again.",no,SATC,,,,,,,,,,,,,,,,,,,
278,Malady maker,1d6+1,Usable: Short metal baton,"When a living creature of a level lower than the cypher is struck by this baton (a medium weapon), it is also afflicted by a sudden and powerful nausea, making it lose its action for the next three rounds. Even after the malady maker ability is used, the baton remains an effective medium weapon.",no,SATC,,,,,,,,,,,,,,,,,,,
279,Mass destructor,1d6+4,Usable: Solid black cube about the size of a human fist encased in a larger clear cube,"When activated, the clear cube begins to dissolve, which takes ten minutes. After the outer cube dissolves fully, the black cube causes all eligible victims (living creatures the size of a small dog or larger) in long range to belch forth a cloud of black vapor. This vapor fills the immediate area around the victim, inflicting damage equal to the cypher level on the victim and all other living creatures within the cloud. One round later, all eligible victims within long range of every affected victim belch forth the same cloud (even if they already did so before). This continues until no creatures are affected. The cypher is a horrific doomsday device that could easily destroy an entire city or wipe out an army.",no,SATC,,,,,,,,,,,,,,,,,,,
280,Mass nodule,1d6+1,Usable: Crystal nodule affixed to an object or a creature,"If attached to an object or an unresisting creature, the nodule adheres for one hour. The object or creature’s weight increases by a factor of ten, rendering most creatures unable to move, and rendering most objects unmovable by creatures whose level is less than the cypher level.",no,SATC,,,,,,,,,,,,,,,,,,,
281,Matter converter,1d6+2,"Internal: Pill
Usable: Complex device","Converts material that can fit inside a 5-foot (2 m) cube into different material of the user’s choice. If this is an internal cypher, the user must consume the material and then excrete or surgically remove the new material in whatever manner the GM deems appropriate.",c281,SATC,,,,,,,,,,,,,,,,,,,
282,Memory cube,1,Usable: Small cube made of glass or crystal,"Removes one memory from the user’s mind and stores it inside the device, where it remains forever. Anyone holding the device can see a replay of the memory as the user experienced it. The user has no recollection of the memory, though she can become familiar with it through repeated viewings.
[If you cobble together a memory cube and a rejuvenation field, you create a cypher that allows a single creature to recover one lost or erased memory permanently.]",no,SATC,,,,,,,,,,,,,,,,,,,
283,Memory dust,1d6,Usable: Capsule containing nanites and visible dust particles,"Opening the capsule and sprinkling its contents in an area about 10 feet by 10 feet (3 m by 3 m) causes the nanites to loosely create a projection of the events that recently occurred in that area, essentially re-enacting the previous ten minutes. The rendering is mostly created from large shapes and big movements. Smaller details are more difficult to make out.",no,SATC,,,,,,,,,,,,,,,,,,,
284,Memory gel,1d6+2,Usable: Gel contained in metal or plastic tube with a screw cap,"Pouring out the tube’s contents activates the device. The gel spreads over any object within immediate range that can fit inside a 10-foot (3 m) cube. Once the gel covers the object, it stays put for one minute, and then it withdraws and forms into a tiny, hard ball. At any time thereafter, a character can throw the ball a short distance. If it strikes a hard surface, the ball expands and takes the shape of the thing it covered. The material is as hard as metal and lasts until destroyed.",no,SATC,,,,,,,,,,,,,,,,,,,
285,Memory lenses,1d6,"Wearable: Contact lenses, eyeglasses, or goggles","Allows the wearer to mentally record everything they see for thirty seconds per cypher level and store the recording permanently in their long-term memory. This cypher is useful for watching someone pick a specific lock, enter a complex code, or do something else that happens quickly.",no,DISC,,,,,,,,,,,,,,,,,,,
286,Mental coupling,1d6+3,"Wearable: Headband, glove","Allows one thinking creature to speak telepathically with another creature that it touches. Although the connection lasts for only one minute, vast amounts of data can be exchanged if both creatures are willing.",no,SATC,,,,,,,,,,,,,,,,,,,
287,Mental director,1d6,"Wearable: Needled patch that adheres to flat, hairless skin","Once applied, the patch “reads” the user’s muscle action, allowing her to remotely (within long range) take a single action with another object that is her size or smaller as though she were touching it. For example, she could detonate a device or push open a door. She must actually perform the desired action in order for the cypher to read her muscle movement.",no,SATC,,,,,,,,,,,,,,,,,,,
288,Mental scrambler,1d6+2,Usable: Complex metal and glass device,"Two rounds after being activated, the device creates an invisible field that fills an area within short range and lasts for one minute. The field scrambles the mental processes of all thinking creatures. The effect lasts as long as they remain in the field and for 1d6 rounds after, although an Intellect defense roll is allowed each round to act normally (both in the field and after leaving it). Each mental scrambler is keyed to a specific effect. Roll for effect:
01–30 Victims cannot act.
31–40 Victims cannot speak.
41–50 Victims move slowly (immediate range) and clumsily.
51–60 Victims cannot see or hear.
61–70 Victims lose all sense of direction, depth, and proportion.
71–80 Victims do not recognize anyone they know.
81–88 Victims suffer partial amnesia. 89-94 Victims suffer total amnesia.
95–98 Victims lose all inhibitions, revealing secrets and performing surprising actions.
99–00 Victims' ethics are inverted.",no,DISC,,,,,,,,,,,,,,,,,,,
289,Mental thieves,1d6+4,Internal: Subdermal injection,"The user exhales a cloud of spores as he puts a question to a creature within immediate range. The spores infiltrate the target’s body, find the answer in its thoughts, and forcefully eject themselves from the body, inflicting 2 points of damage to the target. The spores fly through the air and reenter the user’s body, at which point he immediately learns the answer to the question, subject to the limits of the target’s knowledge.",no,SATC,,,,,,,,,,,,,,,,,,,
290,Message capsule,1d6,Usable: Synth cylinder about 1 foot (0.3 m) in length,"Upon activation, a message of up to one minute in length can be recited to the cylinder. When the message is complete and the user provides a detailed description of the intended recipient (signifying title and/or name), the cylinder fades from view. Within the next 100 hours, the cylinder appears to the recipient, broadcasts the message, and crumbles into dust.
[If you cobble together a message capsule with any detonation (task difficulty 6), you create a message detonation.]",no,SATC,,,,,,,,,,,,,,,,,,,
291,Message detonation,1d6,Usable: Synth cylinder about 1 foot (0.3 m) in length,"It takes an action to encode the cylinder with a detailed description of the intended recipient, signifying his title and/or name. Then the cylinder fades from view. Within the next 100 hours, it appears to the recipient and explodes as a detonation in an immediate radius, inflicting damage equal to the cypher level. Roll d100 for the type of damage:
01-10 Cell-disrupting (harms only flesh)
11-30 Corrosive
31-40 Electrical discharge
41-50 Heat drain (cold)
51-75 Fire
76-00 Shrapnel",no,SATC,,,,,,,,,,,,,,,,,,,
292,Metal death,1d6+2,"Wearable: Wrist-mounted sprayer
Usable: Canister with hose","Produces a stream of foam that covers an area about 3 feet by 3 feet (1 m by 1 m), transforming any metal that it touches into a substance as brittle as thin glass. The foam affects metal to a depth of about 6 inches (15 cm).",no,DISC,,,,,,,,,,,,,,,,,,,
293,Metal patch,1d6,Usable: Small metal plate,"When placed on a flat surface, the device affixes itself and rapidly expands until it becomes a plate that is 6 inches (15 cm) thick with a radius of up to 10 feet (3 m). Once in place, the device cannot be removed without destroying it.",no,SATC,,,,,,,,,,,,,,,,,,,
294,Metamagnetizer,1d6,"Usable: Handheld device
Wearable: Glove, wristband","The device creates a sudden increase in the magnetic field of a random nonliving substance that isn’t usually magnetized, causing it to become drawn toward the cypher in one round. The device exerts a strong pull (holding or moving up to 10 pounds [5 kg]) within short range and a weaker pull (holding or moving up to 5 pounds [2 kg]) within long range. Roll d100 for the substance that it attracts:
01-10 Synth
11-30 Stronglass
31-40 Wood
41-50 Stone
51-75 Fabric
76-00 Leather",no,SATC,,,,,,,,,,,,,,,,,,,
295,Mind control implant,1d6+4,"Internal: Pill
Wearable: Disk that adheres to forehead, temporary tattoo
Usable: Injector","This cypher consists of two devicesan injection or pill, and a control disk or temporary tattoo. They are usually found together. For ten minutes, the disk or tattoo enables long-range mental communication with—and control of—anyone who took the injection or pill. The controller can bid the target creature to do anything it could do normally.",no,SATC,,,,,,,,,,,,,,,,,,,
296,Mind killer,1d6+3,Usable: 2-inch (5 cm) crystal dodecahedron,"When activated, this crystal flies into the air and seeks the most intelligent creature in long range, which takes one round. After finding its target, the crystal fires a bolt of energy similar to lightning at the creature that inflicts 10 points of Intellect damage (ignores Armor).",no,SATC,,,,,,,,,,,,,,,,,,,
297,Mind module,1d6+2,Usable: Small metal and synth plate,"This cypher must be attached to another cypher or artifact (a level 6 task). Once attached, it no longer counts against a character’s cypher limit. The cypher or artifact it is attached to is now possessed of its own telepathic machine intelligence and can function on its own, obeying verbal or telepathic commands. For example, a detonation can be told to explode whenever someone in a particular uniform comes near. A windrider can be commanded to fly to a location on its own. The module cannot be removed from the device without destroying both the module and the device.",no,SATC,,,,,,,,,,,,,,,,,,,
298,Mind oculus,1d6,"Wearable: Glass contact lens, monocle, spectacles","Allows the wearer to create a mental connection to any living, sentient creature whose eyes they can look into for at least thirty seconds. Removing all language barriers, the mind oculus allows the wearer to ask a question that the creature should know the answer to, and get a truthful answer. If the creature is disagreeable to the exchange, the device allows only one question and answer. If the creature is agreeable, the device allows up to five questions within a ten-minute period.",no,SATC,,,,,,,,,,,,,,,,,,,
299,Mind sled,1d6+2,"Internal: Pill, ingestible liquid
Usable: Injector","The user falls unconscious, and one round later, a luminous crystal bloodlessly emerges from her head (the crystal is not considered a cypher). When the crystal is touched by another creature, the consciousness of the user wakes in the body of that creature (and the host’s consciousness is temporarily submerged). For all intents and purposes, the user is the creature in all ways except personality. The user transfers back into her own body 28 hours later. If her body died in the meantime, there’s a chance that her consciousness will remain in the host body, but most often, her personality merely burns out.",no,SATC,,,,,,,,,,,,,,,,,,,
300,Mini gate,1d6+2,Usable: Metal sphere,"When activated, this device creates a tiny portal at the user’s wrist and another at a spot within long range that she can see. Her hand emerges from the second gate, allowing her to manipulate objects, attack with a light weapon, or pull a small object through the gate. The gate lasts for one round per cypher level.",c300,SATC,,,,,,,,,,,,,,,,,,,
301,Miniaturized weapon,1,Usable: A miniature weapon usually a sword or dagger),"When activated, the device instantly grows into the full-sized weapon that it resembles.",no,SATC,,,,,,,,,,,,,,,,,,,
302,Mist animator,1d6+3,"Wearable: Synth glove
Usable: Handheld device","Allows the user to control the movement and shape of a gaseous substance. The amount of gas cannot be increased or decreased, but it can be moved a short distance in a single round, be reshaped so that the mist envelops selected targets, or be dispersed harmlessly. The animator functions for one minute.
[Using a mist animator with a mist energizer or mist producer is a dangerous combination.]",no,SATC,,,,,,,,,,,,,,,,,,,
303,Mist energizer,1d6+3,"Wearable: Headband, ring
Usable: Handheld device","Alters the composition of a gaseous cloud no larger than 10 feet by 10 feet by 10 feet (3 m by 3 m by 3 m) so that it inflicts damage equal to the cypher level to anyone that enters it. Damage continues every round that a creature is within the energized mist, which lasts for ten minutes.
The gaseous cloud can simply be the normal air, but it could also be an already poisonous vapor or some other gas.",no,SATC,,,,,,,,,,,,,,,,,,,
304,Mist producer,1d6+1,Usable: Handheld device,Emits a cloud of poisonous gas that inflicts damage equal to the cypher level on anyone within immediate radius. The mist remains for two rounds.,no,SATC,,,,,,,,,,,,,,,,,,,
305,Momentum dampener,1d6,Usable: Small mechanical device,"Projects an immobile field out to a short distance from the device that lasts for one minute. Any creature or object that comes into the edge of the field immediately stops moving without harm. Projectiles simply fall to the ground. Creatures stop moving. Until the effect ends, it is not possible to physically move through the field.",no,SATC,,,,,,,,,,,,,,,,,,,
306,Monoblade,1d6+2,"Internal: Injection into fingertip
Wearable: Glove
Usable: Device similar to hilt","Produces a 6-inch (15 cm) blade that’s the same level as the cypher. The blade cuts through any material of a level lower than its own. If used as a weapon, it is a light weapon that ignores Armor of a level lower than its own. The blade lasts for ten minutes.
[In the Black Riage, there is an abhuman brute named Chorolus with a monoblade implant in his hand that he can call upon as often as he likes. It’s theorized that the blade interacts with his personal physiology somehow, so that if it were ever removed, it would stop working.]",no,DISC,,,,,,,,,,,,,,,,,,,
307,Mood patch,1d6+2,Wearable: Adhesive patch that activates when slapped,"Once activated, the patch transfers a substance that makes the wearer feel an emotion, enter a particular state of mind, or forget something unpleasant. Roll d100:
01-25 Moods ranging from tranquil to ecstatic for one hour
26-50 Moods ranging from melancholy to suicidal for one hour
51-75 Completely truthful (1-3 on d6) or pathological liar (4-6 on d6) for one hour
76-00 Permanently erases one memory chosen by the wearer",no,SATC,,,,,,,,,,,,,,,,,,,
308,Motion activator,1d6+1,Usable: Small synth nodule,"When attached to another cypher or artifact, the motion activator causes it to activate if anything larger than a small dog moves within immediate range. Once activated, it cannot be deactivated.",no,SATC,,,,,,,,,,,,,,,,,,,
309,Motion sensor,1d6+2,"Internal: Injection into spine
Wearable: Amulet
Usable: Disk that can be affixed to the floor or another surface","Indicates when any movement occurs within short range, or when large creatures or objects move within long range (the cypher distinguishes between the two). It also indicates the number and size of the creatures or objects in motion. Once activated, it operates for one hour per cypher level.",no,DISC,,,,,,,,,,,,,,,,,,,
310,Muscle cart,1d6+3,Usable: Small metal box with wheels,"When activated, this small cart vastly increases its mass and begins to move forward. It can pull up to 10,000 pounds (4,536 kg) for one hour, moving about 10 feet (3 m) per round regardless of terrain (within reason), but only in its original direction.",no,SATC,,,,,,,,,,,,,,,,,,,
311,Mystery box,10,Usable: Mechanical object fitted with red button,"The device disappears when activated, and the GM secretly rolls 2d20 to see what happens.
[Too long of a list for this cell: Page 75 of SATC]",no,SATC,,,,,,,,,,,,,,,,,,,
312,Navigator daemon,1d6+2,Usable: Small handheld device,"The user names a location or the coordinates of a location. The device projects a beam of light that creates a tiny, flying level 1 creature. It takes a minute for the creature to form, and then it wings off to lead the user to the stated destination. After 28 hours, the creature dissipates into motes of light that fade away, whether or not the user has reached the destination.",no,SATC,,,,,,,,,,,,,,,,,,,
313,Nectar dispenser,1d6,Usable: Small canister,"This device produces a thick, delicious liquid that provides nutrition and sustains up to three people for one day (or one person for three days) if there is a container to hold the nectar.",no,SATC,,,,,,,,,,,,,,,,,,,
314,Needle sphere,1d6+1,Usable: Metal and synth sphere,"Upon activation, the sphere floats in the air next to the user for one round per cypher level. Each round, it fires a large needle (more like a dart) that inflicts 3 points of damage at a target designated by the user within long range. (This occurs on the user’s action in addition to her normal actions.) The player makes the attack rolls, and although she cannot use Effort or skills to modify her rolls, the difficulty of each attack is decreased by two steps.",c314,SATC,,,,,,,,,,,,,,,,,,,
315,Needleburst,1d6+4,Usable: A crystal with many jagged protrusions,"This device is activated when the user plays a certain high-pitched note within long range of it. (This may require the user to have a pitch-pipe, flute, or other such instrument, but it’s possible to sing the note as well if one is talented.) When activated, the device explodes in a short radius with needlelike crystal shards, inflicting damage equal to the cypher level.",no,SATC,,,,,,,,,,,,,,,,,,,
316,Neuron disruptor,1d6+4,Usable: A metal cylinder with several buttons and dials,"When activated, the device releases a pulse that travels out to a 1-mile (2 km) radius. All living things in the area whose level is lower than the cypher level become catatonic for 28 hours.",no,SATC,,,,,,,,,,,,,,,,,,,
317,Nevermind,1d6+2,"Internal: Pill, ingestible or injectable liquid
Wearable: Earring, ring, circlet","The wearer’s mind can’t be telepathically sensed or contacted for 28 hours. If the wearer has telepathic abilities or psychic attacks, they’re inaccessible. On the other hand, during this period, defense rolls against all kinds of psychic and mental attacks are modified by two steps to the wearer’s benefit.",no,SATC,,,,,,,,,,,,,,,,,,,
318,Numbing oil,1d6,"Wearable: Gloves that secrete oil
Usable: Small flask of oil","Skin touched by this oil instantly loses almost all sensitivity for one round. This makes things like pickpocketing or surreptitious injections far easier (provides two assets to such actions).
Once used, the oil remains active on the glove or applicator for ten minutes.",no,SATC,,,,,,,,,,,,,,,,,,,
319,Numenera analyzer,1d6,"Internal: Brain implant
Wearable: Eyeglasses, goggles, helmet
Usable: Small mechanical device",Automatically identifies all cyphers and artifacts within immediate range.,no,SATC,,,,,,,,,,,,,,,,,,,
320,Numenera net,1d6+2,Usable: A square of fine mesh,"Before this device can be activated, at least three cyphers must be activated within a short distance of it. Once this occurs, the net becomes charged for 28 hours. The next time the user uses an occultic cypher while in possession of the net, he can transfer energy from the net to the cypher so that the cypher can be used one additional time.",no,SATC,,,,,,,,,,,,,,,,,,,
321,One perfect cut,1d6+4,"Usable: Knife, dagger, or similar blade","A user can use the blade to cut through 5 feet (2 m) of any material it touches one time. If used as a weapon, the cypher deals damage equal to the cypher level and ignores Armor.",no,SATC,,,,,,,,,,,,,,,,,,,
322,Orbital armor,1d6,Usable: Three small clear balls attached to each other with stretchy synth. One ball has a simple push button.,"When activated and thrown into the air, the balls set up an orbit around the user, protecting her from incoming piercing, striking, or other physical damage for ten minutes. The device provides Armor equal to the cypher level, but it doesn’t protect against Intellect damage. Activation is an action.",no,SATC,,,,,,,,,,,,,,,,,,,
323,Orbital launcher,1d6+4,"Wearable: Glove of synth
Usable: Small handheld device","One unanchored item within immediate range that weighs no more than 50 pounds (23 kg) is launched upward at a chosen angle with a steady, sustained velocity that sends the object into the void over the course of several hours. If the cypher is used underground or directed to launch the item toward some sort of barrier, the cypher doesn’t activate.",no,SATC,,,,,,,,,,,,,,,,,,,
324,Organ patch,1d6,Usable: Complicated handheld device with control panel,"The device is used to take a sample of the user’s skin. The user can set the control panel to choose a single organ he would like to regrow (typically something the size of an ear, a finger, a toe, or an eyeball). Shortly thereafter, the device produces a strip about 4 inches by 2 inches (10 cm by 5 cm) of a sticky, fleshlike substance that the user places on his arm or leg. In 28 hours, he has a newly grown organ. Once the organ is fully grown and properly placed, it self-sticks and begins to grow connections to the user’s body. If allowed to attach for 28 hours without taking damage, the new organ becomes permanent.",no,SATC,,,,,,,,,,,,,,,,,,,
325,Ostracized vapor,1d6,"Wearable: Smoking mask
Usable: Electronic smoking implement","Allows the user to inhale a potent chemical that changes his body chemistry for ten minutes, causing him to give off pheromones that have a variety of effects. The GM should roll d100 ahead of time to determine the effect:
01–50 Makes the user smell like prey to the closest nonhuman creature (within long range)
51–75 Makes the user smell like a predator to the closest nonhuman creature (within long range) 
76–00 Makes the user smell exactly like the closest nonhuman creature (within long range)",no,SATC,,,,,,,,,,,,,,,,,,,
326,Overwatch defender,1d6+4,Usable: Sphere on a tripod,"Once activated, this device functions for 28 hours. If a creature with hostile intent comes within long range, the device creates a force field around itself (and anything nearby) that encapsulates an immediate radius. This force field has 100 health; anyone wishing to get in or out of the field must batter their way through. It lasts until destroyed or for one hour, whichever comes first. Once the force field is down, the device is no longer active.
[“I once took parts from an overwatch defender and an overwatch slayer and attempted to make something that performed both functions and worked permanently, rather than just over the course of a day. The resulting device ran off and terrorizes the countryside in Milave to this day. ” ~Sir Arthour]",no,SATC,,,,,,,,,,,,,,,,,,,
327,Overwatch slayer,1d6+3,Usable: Sphere on a tripod,"Once activated, this device functions for 28 hours. If a creature with hostile intent comes within long range, the device immediately fires a blast of energy that inflicts damage equal to the cypher level. It continues to fire, once per round, for a number of rounds equal to the cypher level. Once the device is done firing, it is no longer active.
[“I once took parts from an overwatch defender and an overwatch slayer and attempted to make something that performed both functions and worked permanently, rather than just over the course of a day. The resulting device ran off and terrorizes the countryside in Milave to this day. ” ~Sir Arthour]",no,SATC,,,,,,,,,,,,,,,,,,,
328,Pain inverter,1d6,"Internal: Pill, ingestible liquid, inhalable powder
Usable: Injector","For one hour after activation, whenever the user takes damage, she has an asset for her next roll made before the next round ends.",no,SATC,,,,,,,,,,,,,,,,,,,
329,Panoramic capture ball,1d6,"Usable: Synth ball about 6 inches (15 cm) in diameter, with an electronic device inside and a series of glass lenses","When the user throws the ball into the air and it reaches its peak, it records a picture through each of its 1d20 + 5 lenses, capturing them all on a screen in a single panoramic image.",no,SATC,,,,,,,,,,,,,,,,,,,
330,Parous cypher ball,1d6,"Usable: Synth ball about 6 inches (15 cm) in diameter, with a large, sealable slit in the side","The parous ball can hold one cypher (as long as it is no larger than a typical handheld device). Once the cypher is sealed in the ball, it must remain there for 28 hours. At that point, the cypher is released. Thereafter, for a number of hours equal to the cypher level, the ball releases exact duplicates of the cypher, one per hour.
While the original cypher is in the ball, it doesn't count against the character's cypher limit. The duplicates do not count against the character's limit until all duplicates are expelled.",no,SATC,,,,,,,,,,,,,,,,,,,
331,Parous oddity box,1d6,"Usable: Synth box about 6 inches (15 cm) square, with a large, sealable seam along one side","The parous box can hold one oddity (as long as it is no larger than a typical handheld device). Once the oddity is sealed in the box, it must remain there for 28 hours. At that point, the oddity is released. Thereafter, for a number of hours equal to the cypher level, the box releases a random oddity, one per hour. Each new oddity is different from the one that was originally put in the box.",no,SATC,,,,,,,,,,,,,,,,,,,
332,Perma-damp,1d6+4,Usable: Spray canister,"Coats something that can fit within a 5-foot (2 m) cube with gel. The gel remains damp for 1d6 hours. Anything covered by the gel has Armor equal to the cypher level against corrosive, electrical, and fire damage. When the effect ends, the gel grows and becomes spongy, like cake. It provides bland nourishment for up three human-sized characters for one day.",no,SATC,,,,,,,,,,,,,,,,,,,
333,Permanent handle,1d6,Usable: Handle-shaped metal and synth piece,"When activated, this device permanently bonds (on a molecular level) to whatever it touches, giving that object a handle. It inflicts damage equal to the cypher level to any living creature it bonds to.",no,SATC,,,,,,,,,,,,,,,,,,,
334,Personal environment field,1d6+2,"Wearable: Belt, medallion, ring
Usable: Handheld device","Creates an aura of temperature and atmosphere that will sustain a human safely for 28 hours. The aura extends to 1 foot (30 cm) around the user (double that radius if the cypher is level 7 or higher). It does not protect against sudden flashes of temperature change (such as from a heat ray). A small number of these cyphers (1 in 1d100) accommodate the preferred environment of a nonhuman, nonterrestrial creature.",no,DISC,,,,,,,,,,,,,,,,,,,
335,Phase changer,1d6+1,"Wearable: Belt, medallion, ring
Usable: Handheld device","Puts the user out of phase for one minute (two minutes if the cypher is level 6 or higher). During this time, the user can pass through solid objects as though they were entirely insubstantial, like a ghost.
They cannot make physical attacks or be physically attacked.",no,DISC,,,,,,,,,,,,,,,,,,,
336,Phase disruptor,1d6+2,"Usable: Complex device, plate that affixes to surface, elaborate spray atomizer","Puts a portion of a physical structure (like a wall or floor) out of phase for one hour. It affects an area equal to one 5-foot (1.5 m) cube per cypher level. While the area is out of phase, creatures and objects can pass freely through it as if it were not there, although one cannot see through it, and it blocks light.",c336,DISC,,,,,,,,,,,,,,,,,,,
337,Photon igniter,1d6+4,"Wearable: Wristband
Usable: Handheld device","Emits a beam at one target within long range. If the beam strikes the target, it changes how the target interacts with light energy for one minute. Until the effect wears off, it inflicts damage based on the level of light to which the target is exposed at the start of each round. Light inflicts 3 points of damage, dim light inflicts 2 points of damage, and very dim light inflicts 1 point of damage.
[If you cobble together a photon igniter with a mini gate (task difficulty 7), you create a cypher that emits a beam at one target within long range that inflicts 8 points of damage and teleports the target in a random direction up to 20 feet (6 m) away.]",no,SATC,,,,,,,,,,,,,,,,,,,
338,Photonic fabricator,1d6+2,Usable: Complex handheld device,"Creates one item of solidified light (user's choice) anywhere within immediate range. The item cannot have moving pieces and must normally be made from a rigid material. For example, a user could create a broadsword, ladder, or shield, but not a backpack, buzzer, or bow. The item emits dim light in a short radius and lasts for 28 days before fading away.",no,SATC,,,,,,,,,,,,,,,,,,,
339,Photonic hand,1d6+2,"Wearable: Wristband projector (long range)
Usable: Handheld projector (long range)","Creates a glowing copy of the user’s hand at a spot within range. The hand is 10 feet (3 m) tall and made from solid light. When activated, the hand attacks a target within immediate range of it. The hand inflicts 4 points of damage and prevents the target from moving for one minute. While held in this way, the target has +2 to Armor.",no,SATC,,,,,,,,,,,,,,,,,,,
340,Photonic smasher,1d10,"Wearable: Wristband projector (short range)
Usable: Handheld projector (short range)","Creates a glowing bludgeon about 5 feet (2 m) tall that floats in the air in an open space within range. When the bludgeon appears, it immediately attacks a target within short range of it and, if it hits, inflicts 4 points of damage. The bludgeon remains for one minute, and whenever the user takes an action, he can move the bludgeon a short distance and attack with it.",no,SATC,,,,,,,,,,,,,,,,,,,
341,Piezoelectric engine,1d6+2,"Wearable: Medallion, headband with small mechanical disc
Usable: Handheld device","Creates an invisible energy barrier in a short radius from the device that lasts for one hour. The barrier moves with the device. The barrier converts any sound that reaches it into light. Soft noises cause the barrier to emit very dim light out to a short distance, normal conversation produces dim light out to a short distance, and loud noises produce light out to a long distance.",no,SATC,,,,,,,,,,,,,,,,,,,
342,Pleasure center,1d6+1,Usable: Small metallic disk,"When applied to a creature’s head, the disk immediately unleashes microfilaments that enter the brain. Within five minutes, the microfilaments release a chemical compound that provides an increased sensation of pleasure and a decreased sensation of pain or displeasure. Adds 1 to the creature’s Might Pool for one hour.",no,SATC,,,,,,,,,,,,,,,,,,,
343,Poison (emotion),1d6+2,"Internal: Pill, ingestible or injectable liquid 
Wearable: Lipstick, false fingertip, ring with needle 
Usable: Injector","The victim feels a specific emotion for one hour.
01–20 Anger. Likely to attack anyone who disagrees with them. Very hard to interact with; all interaction tasks are hindered by two steps.
21–40 Fear. Flees in terror for one minute when threatened.
41–60 Lust. Cannot focus on any nonsexual activity.
61–75 Sadness. All tasks are hindered. 76-85 Complacency. Has no motivation. All tasks are hindered by two steps.
86–95 Joy. Easy to interact with in a pleasant manner; all pleasant interaction tasks are eased.
96–00 Love. Much easier to interact with; all interaction tasks are eased by two steps, but temporary attachment is likely.",no,DISC,,,,,,,,,,,,,,,,,,,
344,Poison (explosive),1d6+1,"Internal: Pill, ingestible or injectable liquid 
Wearable: Lipstick, false fingertip, ring with needle 
Usable: Injector","Once this substance enters the bloodstream, it travels to the brain and reorganizes into an explosive that detonates when activated, inflicting 10 points of damage (ignoring Armor). Roll to determine the means of detonation:
01–25 The detonator is activated (must be within long range).
26–40 A specified amount of time passes. 
41–50 The victim takes a specific action. 51-55 A specific note is sung or played on an instrument within short range.
56–60 The victim smells a specific scent within immediate range.
61–80 The victim comes within long range of the detonator.
81–00 The victim is no longer within long range of the detonator.",no,DISC,,,,,,,,,,,,,,,,,,,
345,Poison (mind-controlling),1d6+2,"Internal: Pill, ingestible or injectable liquid 
Wearable: Lipstick, false fingertip, ring with needle 
Usable: Injector","The victim must carry out a specific action in response to a specific trigger.
01–20 Lies down for one minute with eyes closed when told to do so.
21–40 Flees in terror for one minute when threatened.
41–60 Answers questions truthfully for one minute.
61–75 Attacks close friend for one round when within immediate range.
76–85 Obeys next verbal command given (if it is understood).
86–95 For 28 hours, becomes sexually attracted to the next creature of its own species that it sees.
96–00 For one minute, moves toward the next red object seen in lieu of all other actions, even ignoring selfpreservation.",no,DISC,,,,,,,,,,,,,,,,,,,
